"words","freq"
"amor",722
"vida",560
"corazón",504
"hoy",341
"vos",315
"noche",307
"siempre",281
"alma",263
"dolor",257
"quiero",257
"ojos",250
"tango",249
"tan",248
"nunca",229
"vez",209
"triste",198
"así",194
"voz",194
"día",193
"viejo",183
"bien",177
"pobre",174
"sólo",174
"pena",169
"aquel",166
"ser",164
"dos",149
"sos",147
"ayer",144
"llorar",143
"mujer",141
"canción",139
"querer",139
"adiós",138
"barrio",132
"recuerdo",128
"flor",127
"luz",126
"ver",123
"solo",122
"dios",121
"vivir",120
"ilusión",119
"mal",119
"vieja",119
"tiempo",113
"después",110
"sol",110
"hace",109
"cielo",106
