a_lyric;a_music;lyric;title
Edmundo Rivero (milonga);Edmundo Rivero;"En tu baraje gringo, ciudad mía, vas perdiendo tus zarzos y tu brillo. Tu malevaje está en la taquería y apoliya en orsay tu conventillo. Sos cadenera, flor sin berretines, que currás a los cuores con tu rango; pero el choma que aceita tus patines es canchero y varón, se llama tango. Mis escoberos siempre harán candado y en mi bobo de zurda sin falsía, aunque te dieron juego marquillado pa mí vos valés más que una María. Yo seguiré scruchando en tu lunfardo sin monseñor, jirafa, ni bandera. Y mi vos artillera será el bardo que te cante la rima más canera. Cuando llegue al final, si la de blanco me lleva con el cura antes que al hoyo, que el responso sea en lunfa, así lo manco. Yo no aprendí el latín, de puro criollo. Y así estarás feliz, matina y sera, más contenta que santo en la leonera. ";A Buenos Aires
Jorge Luis Borges (milonga);Astor Piazzolla;Venga un rasgueo y ahora, con el permiso de ustedes, le estoy cantando, señores, a Don Nicanor Paredes. No lo vi rígido y muerto. Ni siquiera lo vi enfermo. Lo veo con paso firme pisar su feudo, Palermo. El bigote un poco gris, pero en los ojos el brillo, y cerca del corazón el bultito del cuchillo. El cuchillo de esa muerte de la que no le gustaba hablar... Alguna desgracia de cuadreras o de tabas. (Recitado) De atrio más bien fue caudillo, si no me marra la cuenta, allá por los tiempos bravos del ochocientos noventa. Si entre la gente de faca se armaba algún entrevero él lo paraba de golpe, de un grito o con el talero. Ahora está muerto y con él cuánta memoria se apaga de aquel Palermo perdido del baldío y de la daga. Ahora está muerto y me digo: ¡Qué hará usted, Don Nicanor, en un cielo sin caballos, sin vino, retruco y flor! ;A Don Nicanor Paredes
Cátulo Castillo;Aníbal Troilo;"Fueron años de cercos y glicinas, de la vida en orsay, del tiempo loco. Tu frente triste de pensar la vida tiraba madrugadas por los ojos... Y estaba el terraplén con todo el cielo, la esquina del zanjón, la casa azul. Todo se fue trepando su misterio por los repechos de tu barrio sur. Vamos, vení de nuevo a las doce... Vamos que está esperando Barquina. Vamos... ¿No ves que Pepe esta noche, no ves que el viejo esta noche no va a faltar a la cita?... Vamos... Total al fin nada es cierto y estás, hermano, despierto juntito a Discepolín... Ya punteaba la muerte su milonga, tu voz calló el adiós que nos dolía; de tanto andar sobrándole a las cosas prendido en un final, falló la vida. Yo sé que no vendrás pero, aunque cursi, te esperará lo mismo el paredón, y el tres y dos de la parada inútil y el resto fraternal de nuestro amor... ";A Homero
Homero Expósito;Domingo Federico;¡A bailar, a bailar que la orquesta se va! Sobre el fino garabato de un tango nervioso y lerdo se irá borrando el recuerdo... ¡A bailar, a bailar que la orquesta se va! El último tango perfuma la noche, un tango dulce que dice adiós. La frase callada se asoma a los labios ¡y canta el tango la despedida! ¡Vamos! ¡A bailar! Tal vez no vuelvas a verla nunca, y el último tango perfuma la noche y este es el tango que dice el adiós. ¡A bailar, a bailar que la orquesta se va! Quedará el salón vacío con un montón de esperanzas que irán camino al olvido. ¡A bailar, a bailar que la orquesta se va! ;A bailar
" Carlos Vicente Geroni 
Flores Letra: Julio Navarrine";"Carlos Vicente Geroni 
Flores Letra: Julio Navarrine";"¿Me da su permiso, señor comisario? Disculpe si vengo tan mal entrazao, yo soy forastero y he caido al Rosario, trayendo en los tientos un güen entripao. Acaso usted piense que soy un matrero, yo soy gaucho honrado a carta cabal, no soy un borracho ni soy un cuatrero; ¡Señor comisario... yo soy criminal!... ¡Arrésteme, sargento, y póngame cadenas!... ¡Si soy un delincuente, que me perdone Dios! Yo he sido un criollo güeno, me llamo Alberto Arenas. ¡Señor... me traicionaban, y los maté a los dos! Mi china fue malvada, mi amigo era un sotreta; cuando me fui a otro pago me basureó la infiel. Las pruebas de la infamia las traigo en la maleta: ¡las trenzas de mi china y el corazón de él! ¡Párese, sargento, que no me retobo!... Yo quiero que sepan la verdad de a mil... La noche era oscura como boca'e lobo; Testigo, solito, la luz de un candil. Total, casi nada: un beso en la sombra... Dos cuerpos cayeron, y una maldición; y allí, comisario, si usted no se asombra, yo encontré dos vainas para mi facón. ¡Arrésteme, sargento, y póngame cadenas!... ¡Si soy un delincuente, que me perdone Dios! ";A la luz del candil
Carlos Lenzi;Edgardo Donato;"Corrientes tres cuatro ocho, segundo piso, ascensor. No hay porteros ni vecinos. Adentro, cocktail y amor. Pisito que puso Maple: piano, estera y velador, un telefón que contesta, una victrola que llora viejos tangos de mi flor y un gato de porcelana pa' que no maulle al amor. Y todo a media luz, que es un brujo el amor, a media luz los besos, a media luz los dos. Y todo a media luz crepúsculo interior. ¡Qué suave terciopelo la media luz de amor! Juncal doce veinticuatro Telefoneá sin temor. De tarde, té con masitas; de noche, tango y cantar. Los domingos, tés danzantes; los lunes, desolación, Hay de todo en la casita: almohadones y divanes; come en botica, cocó; alfombras que no hacen ruido y mesa puesta al amor. ";A media luz
Enrique Dizeo;Juan Maglio;Cuando el suburbio dormita, bajo la lluvia o en noche serena, cruza como un alma en pena las tristes calles una viejecita. Anda vagando hasta el alba y en las sombras se suele ocultar, pobre mujer, camina sin cesar llevando a cuestas todo su penar. La gente buena de los barrios bajos, esos humildes que saben su historia, dicen que un día su nietecita, la muy malita, dejó el hogar. Y desde entonces, invierno y verano, a medianoche la vieja, vive con su amarga queja sumida en la soledad. Y así se pierde por los arrabales, hecha una piltrafa humana, porque en su vida tirana no halló más que falsedad. Como un gemido doliente, llena de harapos, cabizbaja y mustia, siempre se le ve silente con todo el peso de su negra angustia. Y maldiciendo la suerte, que en su pecho congojas dejó, llora su fin al ver que ya perdió el dulce amor que de ella se olvidó. Tal vez la nieta malvada y mezquina hoy no se acuerde de su tierna abuela. Sólo sabe que está dormido el pobre nido que abandono. ;A medianoche
" Carlos Gardel / José 
Razzano Letra: Andrés Cepeda (estilo) ";"Carlos Gardel / José 
Razzano Letra: Andrés Cepeda (estilo) ";"Ven lira bella y gloriosa no me niegues tu armonía dame con tu melodía una inspiración grandiosa; tú que siempre bondadosa fuiste con todo cantor no le niegues un favor a un alma abatida y triste tengo madre y como existe cantarle quiero mi amor. Deja que a tu bello son vaya mi lamento unido y que así llegue a su oído de mi madre esta canción; en ella va la expresión de mi profundo cariño y aunque van en mal aliño todas las frases que enlazo a ella le dirán de paso cuánto la amé desde niño. ¡Pobre madre! yo tal vez culpable soy en la vida de ese dolor sin medida que sientes en la vejez, y tú en cambio en mi niñez me diste vida y calor me besaste con amor en la flor de mi existencia y yo con indiferencia sólo te he dado dolor. Tú en tu seno me llevaste y cuando vine a la vida hermosa madre querida de caricias me llenaste amorosa me besaste en aquella edad temprana para contemplar mañana llena de pena y tristeza sobre tu hermosa cabeza por mí la primera cana. Perdóname madre mía no maldigas mi existencia dale de tu amor la esencia a un alma triste y sombría no me niegues tu armonía que te pido en mi dolor el mundo con su rigor me ha dado tanta amargura que sólo yo en tu ternura espero encontrar amor. Cesa, cesa de vibrar lira bella y armoniosa mi voz triste y quejumbrosa se empieza a debilitar, cesa si no he de regar con mi llanto tu encordado bondadosa me has prestado en el mundo un gran favor para cantarle mi amor a aquella que el ser me ha dado. ";A mi madre
" Carlos Gardel / José 
Razzano Letra: Almafuerte (Palacios, Pedro)
(canción)";"Carlos Gardel / José 
Razzano Letra: Almafuerte (Palacios, Pedro)
(canción)";"Con los amigos que el oro me produjo, las horas con afán pasaba yo, y de mi bolsa, el poderoso influjo; todos gozaban de esplendente lujo pero mi madre, no. ¡Pobre madre!... Yo de ella me olvidaba cuando en brazos del vicio me dormí un inmenso cortejo me rodeaba de mis afectos, a nadie le faltaba, ¡pero a mi madre... Sí!... ¡Hoy moribundo en lágrimas deshecho! Exclamo con dolor todo acabó, al ver que gime mi angustiado pecho todos se alejan de mi pobre lecho ¡pero mi madre... No!... Y cerca ya del último suspiro todos se alejan, por lo que hay en mí. La vista en torno de mi lecho giro en mi triste derredor a nadie miro ¡Pero a mi madre... Sí!... ";A mi madre (Con los amigos)
Julio Camilloni (milonga);Alfredo Gobbi;Mis manos nacieron ciegas y acunan sus locos sueños. No saben que no se puede tocar con ellas el cielo. Por eso golpearon puertas que a mis golpes no se abrieron. Ella ya estaba lejana y yo fui un mendigo ciego. Mis manos fueron dos llamas y solas se consumieron porque ella fue indiferente como una estatua de hielo. Por eso las tengo ahora como si fueran de yeso, dos manos desesperadas, aferradas a un recuerdo. ¡Ay, cómo se equivocaron las ciegas manos que tengo! Mis manos puse en las manos de un amigo y tuve miedo. No fueron manos leales, se cumplió el presentimiento. La vez que se hicieron puño fueron dos puños de acero y me golpearon el rostro por no golpear rostro ajeno. ¡Ay, cómo se equivocaron las ciegas manos que tengo! Soldado del infortunio llevo un brazalete negro. ¡Se llevaron a mi madre y ellas no la detuvieron! Fue el error más lamentable que mis manos cometieron... Ayudaron a llevarla... ¡Nunca sabrán lo que han hecho! ¡Ay, cómo se equivocaron las ciegas manos que tengo! ;A mis manos
